Series L 0—382 / Currency and exchange.
ID	NO	YR	SP $ HON TREAS	US $ HON TREAS	HON $ HON TREAS	HON £ HON TREAS	£ HON TREAS	PENCE HON TREAS	CF	NOTE	SP $ JAM MARK	J £ JAM MARK	J PENCE 78 JAM MARK	J PENCE 93 JAM MARK	£ JAM MARK	PAR JAM MARK	CF	NOTE
L 141	141	1779	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 142	142	1780	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 143	143	1781	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 144	144	1782	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 145	145	1783	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 146	146	1784	"BZD	1.00"			"£	0.32"	"£	0.23"		McCusker	Accts only in Jamaica currency > 12 Jun; Chalmers 1893 p 140	"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 147	147	1785	"BZD	1.00"			"£	0.32"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 148	148	1786	"BZD	1.00"			"£	0.32"	"£	0.23"		Chalmers		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 149	149	1787	"BZD	1.00"			"£	0.32"	"£	0.23"		Chalmers		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 150	150	1788	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 151	151	1789	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 152	152	1790	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 153	153	1791	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
L 154	154	1792	"BZD	1.00"			"£	0.33"	"£	0.20"		Chalmers		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Chalmers	
