C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	NO.	UNITS	ITEM	REPOSITORY	CITY	COUNTRY					VIA	NOTE	
		MS		1779	1779	1	items	List of ships and booty taken in the Bay of Honduras 'by Capt. Luttrel with ships from Jamaica'	Sheffield City Archives	Sheffield	UK						"Ref WWM/R/1/1862
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/8d69ce79-54e8-4c7c-9fd2-1eebed119d6e"	
		MS		1691	2018	1441	boxes	(Wesleyan) Methodist Missionary Society Archive	SOAS University of London	London	UK						http://archives.soas.ac.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=MMS 	
		MS	Somerset DD/WHh/d	1201	2000	59	boxes	HELYAR DOCUMENTS AND MUNIMENTS FROM COKER COURT. 13th century - 20th century	Somerset Heritage Centre	Taunton	UK					Somerset Archive Catalogue	Link: https://somerset-cat.swheritage.org.uk/records/DD/WHh 	
		MS		1150	2003	510	boxes	"WYNDHAM OF ORCHARD WYNDHAM, mid 12th century-2003"	Somerset Heritage Centre	Taunton	UK						https://somerset-cat.swheritage.org.uk/records/DD/WY	
		MS		1849	1890	1	vols	Notes on the building of chapels. 1849-1890	Somerset Heritage Centre	Taunton	UK						https://somerset-cat.swheritage.org.uk/records/D/N/wsc/7/9	
		MS		1715	1804	20	items	Miscellaneous papers. 1715-1804	Somerset Heritage Centre	Taunton	UK						https://somerset-cat.swheritage.org.uk/records/DD/GC/75	
		MS		1676	1676	1	items	Informations. 5 Jun 1676	Somerset Heritage Centre	Taunton	UK						https://somerset-cat.swheritage.org.uk/records/Q/SR/130/30	
		MS		1701	1703	1	vols	"Papers of William Sealy, Bridgwater. 1701-1703"	Somerset Heritage Centre	Taunton	UK						https://somerset-cat.swheritage.org.uk/records/DD/X/PG/1	
		MS		1545	2004	153	boxes	"PAPERS OF THE DICKINSON FAMILY OF KINGWESTON, 1545-2004"	Somerset Heritage Centre	Taunton	UK						https://somerset-cat.swheritage.org.uk/records/DD/DN	
		MS		1912	1968	12.25	feet	"Papers, Mark F. Boyd"	State Library and Archives of Florida	Tallahassee	USA						Not found in Archives Catalogue Link: http://archivescatalog.info.florida.gov	
